commentaire;note;note_eval
"J'adore Netflix, je ne regarde même plus la télé à part Netflix le seul bémol c'est que j'ai accroché à certaines séries est arrivé à la saison 3 ou 4 il n'y a plus de suite car ils ont annulé la série je ne comprends pas c'est très décevant et pourtant la série a eu bon succès comme par exemple ""shadowhunters"".";5;4
films difficile a chercher manipulation des recherches;3;3
Bonjour j’adore vos programmes mais je voulais savoir si il y aura un suite de poursuis tes rêves;5;4
pour ceux qui aiment les séries, de tous les pays, c'est génial! je ne regarde plus que NETFLIX.;5;5
Abandonner systematiquement d'excellentes séries pour des raisons d'avidité, de fric, malgré un excellent taux d audience alors que des navets sont disponibles à la pelle est completement stupide. A l'image de leurs dirigeants certainement. bref. inutile.;1;2
Que se passe t'il netflix J'adore netflix mes quand ils nous prennent que la saison 9 de fairy tail sort sur netflix mes quand la saison est a moitié sorti c'est très embêtent normalement la saison 9 se termine au 328 épisodes et sur netflix c'est couper au 290 épisodes !!!!????;3;3
Je vous deconseil Netflix se sont des voleurs . J ai résilier mon abonnement qui prend fin le 9 septembre .mais aujourd'hui réengager pour un mois encore.pourquoi m obliger à payer un service que je ne veut pas .a fuire netflix;1;1
J'aime bien les films que propose netflix mais je pense que pendant le deuil de Chadwick boseman, Netflix devrait proposer à ses utilisateurs des films qu'il a fait et qui l'ont rendus aussi célèbre, cela va permettre à ceux qui n'ont jamais connu ce Mr de son vivant de vouloir regarder ses films et par conséquent ce qui n'ont pas netflix de prendre un abonnement dans le but de regarder ces films, documentaires, tournage de films et j'en passe.;4;3
Je suis français et Netflix m’oblige de regarder des séries sous titrées en portugais au Portugal ou je vis six mois par an .. C’est une aberration Je ne parle pas anglais et je ne parle pas portugais .... Que faire monsieur Netflix ?;1;1
Et bien quand je lis tout vos avis ça donne pas envie de prendre un abonnement pour regarder des merdes, si en plus ils font payer la hd qui n'est pas au rendez vous;1;1
ils ont supprimé the walking dead en Belgique. vous me dégoûter;1;1
Ils sont où les bons films français ? il n'y en a AUCUN !;1;1
La presentation des series se fait en français mais pas la série pourquoi??? Vieux films, série télé en français difficile à trouver. Pourquoi donner le résumer en français si vous ne l'offre pas. C'est exaspérant de devoir aller dans la liste des langues chaque fois pour se rendre compte qu'il n'y est pas...surtout quand c'est une série qui est déjà traduite dans cette langue..... le principe est génial. Mais place à amélioration évidente....;3;3
Dommage que pas de SAV J'ai eux plusieurs erreurs pendant longtemps, impossible de regarder une serie, je pense qu'un sav serait utile;3;3
Nulle en tout point de vue, en majorité pas de films en Français, des dessins animés, ou ça se tire dessus, ou c'est pour ado.... ou cucu et du réchauffé... Franchement très déçus.;1;1
bof bof des vieux films mais si vieux que j'étais pas née, le recherche est bof et le résumé toujours bien d'après eux après le film c'est autre chose, bof bof vieux films et surtout aucun nouveau;2;2
GROSSE m.. Films rengards;1;1
Impossible d avoir Netflix en français depuis hier, quelques un a t il le même problème que moi, merci pour vos reponses;3;2
je comprends pas pourquoi autant d'avis négatifs, toute ma famille adore surtout les enfants;5;5
La qualité a chuté Netflix a répondu a la demande des opérateurs de diminuer ça qualité de diffusion (plus de HD ) en raison de l'augmentation du nombre de connexions. Par contre j'espère qu'ils vont faire un geste commercial , car a raison je pense faire un appelle a la résiliation des abonnements . C'est quoi ce délire? Pas de mail (je l'ai appris par les news du journal du net sérieux.) , Aucune excuse de la gène occasionné ..ect . Bref bonne soirée a tous;1;1
Une fois passée la quinzaine de série et film bien il y a très peu de nouveautés intéressantes ...;1;2
Vraiment déçu de Netflix car à l'inscription on ne m'avait pas prévenu que j'allais avoir des frais supplémentaires d'Internet car je ne possède pas d'internet illimité donc à la fin du premier mois de Netflix je me suis vu payer 50 € supplémentaires sur ma facture Internet à cause de sa. renseignez-vous correctement auprès de votre fournisseur internet ainsi que sur Netflix avant de faire un abonnement car on paye un abonnement chez eux et on a un surplus d'Internet chez voo. c'est honteux;1;1
Très Très déçus par netflix ces derniers mois .mon compte ne marche pas impossible de les joindre. Tous les débuts de mois c'est toujours le même problème. Même mes enfants sont d accord pour changer d application . Vraiment déçu;1;1
2 piratages en 6 mois , compte peu sécurisé on vous envoie un mail pour vous avertir du changement d’adresse mail sur votre compte , pourquoi ne pas envoyer un lien sur cette adresse d’origine afin de valider ou pas le changement ????????? Déçue par le manque de sécurité !!;1;1
Super séries, sur Netflix il y a de trop bonne series, les films sont bien, un catalogue assez varié, je recommande;5;5
Nul réfléchir bien avant de vous inscrire Nul je vais me désabonner des films et série vieux . Quand il mette une nouveauté c'est pas un film récent un film des années 70 exp évadé alcatraz . Vraiment je suis en train de réfléchir pour me désabonner.;1;1
Netflix FR Il i a presque rien, très incomplet. Peut ergonomique. Je peut trouver les même filme sur le web gratuitement en 2 minute. ( Quand tu na pas la fibre... C'est vraiment la mort.);1;1
Cliente depuis très longtemps ,je me suis désabonnée !!! Plus rien a regarder;1;2
Il y en a marre bientôt 3 mois que je me suis désabonné à Netflix et ils continuent à faire des prélèvements sur mon compte à ne rien comprendre;1;1
"J'ai appelé netflix pour demander si netflix envisageait de diffuser la série qui cartonne aux USA à savoir "" Animal Kingdom "", on m'a répondu non pas assez progressiste..! Du coup j'ai regardé la série d'une autre manière et de toute façon catalogue un peu pauvre tout de même..";1;2
Les memes films depuis 2 ans, quesiment tout en anglais, et plein de film n'y sont pas, sa s'acclame comme le plus grand site de film, haha ce nest que de la merda a 10$ par mois !;1;1
Super netflix , mais ai t-il possible de se faire piraté ?;4;4
Je déconseille a fuir j'ai souscris a un abonnement a 11e avec qualité hd mais quelle horreur qualité dégueulasse et coupure!! Jamais vu ça ailleurs! Ne vous faites pas avoir ne souscrivez pas je vous ai prévenu! j'ai signaler de nombreuses fois mais aucunes réponse de leur part c'est dire!!!!;1;1
Presque que tout mes vieux films que je pensais trouver sur Netflix était absent. Et ils y a beaucoup de films et séries télévisées qui ne sont pas traduit en français c file en dieu.;2;2
Génial Netflix. Il y a beaucoup de choix de films et des séries formidables genre les Peakys blinders, El Chapo, The Crown et combien d autres !!vous pouvez choisir la très haute définition suivant votre abonnement. C'est tout simplement génial !!!!!Les films aussi sont pour tous les goûts. Nous adorons !!!!!!;5;5
Je suis déçue Trop de séries très violentes drogue etc Trop de films vieux Rien de très intéressant Vite fait le tour;2;2
La plupart des films sont dépassés. Penser à vous mettre a jour car de nouveaux concurrents (Disney, Amazon...) arrivent.;3;3
Ils ont promis 1 mois d'essai gratuit mais m'ont chargé dès le premier jour.;1;1
Ravie de ce site, de ses choix pour mon fils comme pour moi-même et surtout de son service client, en france ils m'ont bien aidé. Je suis ravie vraiment;4;5
Juste pour le manque de dialogue de Netflix chat et une augmentation sans bénéfice sur la qualitée et la quantité des vidéos. Je supprime mon compte, je donne pas d'argent pour un site ou le dialogue n'est que mépris.;1;1
Très déçue. Il n'y a pas beaucoup de nouveautés en ce qui concerne les films. Ils datent un peu. Pour les séries rien d'extraordinaire. Il y a quelques bonnes séries mais pas les meilleures. Du coup je trouve que c'est très cher pour ce que c'est.;2;1
Le streaming légal. Et on est ravi Oui ! L'augmentation de leur abonnement ne m'a pas laissé de marbre. Surtout qu'il n'y a pas tant de nouveautés que ça.... Qui pourrait justifier ce prix. Mais Néné est une drogue maintenant pour moi.;4;4
Franchement bof, je trouve surcotée pour moi. Pour ce prix là qui a augmenté. Sauf il y a les bases (la casa de papel, Lucifer,...) mais dès qu’on a finit on regarde quoi ?;2;2
Je peux plus m'en passer;5;5
Excellent site de streaming, facile d'utilisation. Un choix énorme de séries originales, d'excellents documentaires. Seul bémol, un catalogue un peu vieillot sur les films et une qualité discutable sur les films produits par Netflix. Mais globalement Netflix est une réussite;4;4
Manque de contenu évident ! Je passe clairement 1/4 de mon temps sur netflix à chercher !;2;2
salut à tous, alors oui gratuit 1 mois mais ils oublient de vous renvoyer le petit mail trois jours avant la date butoir ..... alors ojos ! Contenu assez nul niveau films, coté séries moyen, donc en résumé faites attention au mois gratuit, profitez et puis désabonnez vous.;1;1
juste nul, 1 mois gratuit fait le tour du catalogue en 24h..;1;1
Bien mais.. Tout était fait pour être bien, mais Netflix aime nous laisser dans l’espoir d’avoir une suite sur certaine série, prenons The Blacklist par exemple, une série sorti en 2016, à l’heure d’aujourd’hui il manque deux saisons ! Impossible d’avoir une réelle suite. Résultat ? Obliger de regarder les deux épisodes manquant en streaming et de payer un abonnement Netflix en plus.. Et cela n’était qu’un simple exemple. Heureusement que d’autres séries et films sont présent pour faire un peut de diversité et calmer le jeu.;3;4
"Site aux tarifs vraiment pas chers, une sélection de séries au top (surtout leurs propres productions éhéh). Les films pourraient être un peu plus ""neufs"" mais avec tout ce qu'ils proposent on a déjà des mois de programmation devant nous !";5;5
film un peut vieux, série avec du retard ,bof et moi je me sers de mon vpn en permanence pour ma sécurité mais il faut tout déconnecter pour regarder Netflix très moyen !!!!!;3;3
"Trop déçu par le catologue. 5% de ""bons titres"" voire ""épiques"" pour certains et tout le reste... Quasiment que des navets. Il faudrait des ajouts plus récents et plus réguliers. Netflix, on s'en lasse !!!!!! Perso, je fais mes valises.";1;1
Bien. Un peu plus de films en français serait bien. Ou alors anglais sous titre.;4;4
Excellent service, jamais aucun problème rencontré ! Ah si, j'avais activé mon compte en Italie et je n'avais accès qu'à des films en italiens ou VO mais le problème s'est résolu en revenant en France. Je recommande totalement ce service;5;5
"On parle de Netflix et ses séries ""originales"" NETFLIX, qui n'a jamais vu un de ces chefs d'oeuvres? Si je dis ""Srangers Things""? Sans Netflix, nous n'aurions jamais connu les œuvres des frères Duffer, pas que ! Il y a aussi des documentaires, films variés, séries de tout genre, pour 11€ par mois, ça les vaut largement :) Netflix Addict depuis sa sortie en France";5;5
SUITE ET FIN FLIXBIP et oui le respect des oeuvre on connaît plus nul part a la tv que se soit chaine publique ,privé , payant comme canal sat ou vod on coupe a la hache des scene trop violent ou comme pour stargate M6 des scenes de nue MERCI rtl9 de passé l intégrale meme des truc insignifiants pour gratter quelque second pour démarrer l emission qui suit ,mais pour netflix j ai du mal a comprendre c est un service prive avec abo possibilité d utilisé un control parentales inutile de biper ,que ceux qui veulent voir des dessin animé vous avez des chaine pour ca moi jai 47 ANS je déteste que l on pense a ma place . bon faut ignoré les bipbiiip dans archer sa sera sa ou acheter les Blu-ray ,vue les episode que j ai deja regarder sur france 4 ne montrera carrément pas certain épisode je dit merci a netflix mais si possible respecter vos client payeur.;1;3
certes c est bien on peut regarder des films ou séries pour ma part je regarde que des films hors j ai pris un abandonnant a 11 euros part mois pour toute la famille qui reste assez cher vu le contenue du site que des films ancien aucune nouveauté sa serais bien d ajouter un peut de nouveauté et pareil on tape un acteur ou actrice résultat aucun film alors franchement je vais voir si part la suite je continue ou pas;1;3
Vraiment Netflix au TOP qualité, quantité, tres grands choix Films, Séries , documentaires ect......... Trop content d'être abonné Merci à vous !!!!!!;5;5
Regarder des films en streaming Si vous aimez regarder des films sur internet, je vous conseille cette plateforme !;5;4
